Alicante/Alacant;Alcocer de Planes;7;6;6;6
Alicante/Alacant;Beniardá;10;3;0;5
Alicante/Alacant;Tollos;5;3;1;0
Burgos;Arraya de Oca;0;3;2;1
Burgos;Carcedo de Bureba;3;3;0;1
Burgos;Fresno de Rodilla;0;3;3;1
Burgos;Ibrillos;6;5;6;4
Burgos;Jaramillo de la Fuente;4;0;2;0
Burgos;Jaramillo Quemado;2;1;0;1
Burgos;Rábanos;6;3;1;4
Burgos;Santa Olalla de Bureba;0;4;0;2
Castellón/Castelló;Palanques;3;0;1;0
Cuenca;Alcohujate;6;3;3;0
Cuenca;Fresneda de Altarejos;5;8;3;3
Cuenca;Poyatos;0;8;5;0
Girona;Meranges;0;1;3;0
Guadalajara;Hombrados;1;3;0;1
Guadalajara;Montarrón;2;2;4;3
Guadalajara;Ocentejo;4;4;1;1
Guadalajara;Recuenco (El);3;8;6;6
Guadalajara;Torrecuadrada de Molina;0;2;2;0
Guadalajara;Valderrebollo;3;4;2;2
Huesca;Aragüés del Puerto;2;7;2;6
Huesca;Laperdiguera;9;8;4;2
Huesca;Sopeira;12;5;4;1
Huesca;Viacamp y Litera;3;1;1;0
Lleida;Esterri de Cardós;3;5;2;1
Rioja (La);Galbárruli;1;2;1;2
Rioja (La);Leza de Río Leza;1;1;1;0
Rioja (La);Zorraquín;4;0;0;0
Madrid;Madarcos;0;2;0;1
Madrid;Orusco de Tajuña;17;27;13;22
Navarra;Leache;4;4;2;1
Palencia;Dehesa de Romanos;6;2;1;1
Palencia;Requena de Campos;5;0;0;0
Salamanca;Tabera de Abajo;6;11;6;5
Segovia;Castrojimeno;5;4;0;0
Segovia;Ventosilla y Tejadilla;0;1;2;1
Soria;Buitrago;2;2;1;3
Soria;Fuentecantos;3;1;2;2
Soria;Herrera de Soria;4;0;0;0
Soria;Valdegeña;2;1;2;1
Soria;Valdelagua del Cerro;0;2;1;1
Soria;Valdeprado;2;1;0;1
Teruel;Allueva;3;0;1;0
Teruel;Cañada Vellida;0;3;0;2
Teruel;Castelnou;11;0;0;2
Teruel;Ferreruela de Huerva;10;2;3;1
